"","country","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","year","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","imr.fwd.fill.sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year_l1","year_sq_l1"
"30","Thailand",0.02578,30,0.01459,26,0.0273,33,2023,0,0,0,1,0,0,1,1,1,4,0,0.469,0,0,0,1,-0.006,26.1,1.883,7.013,2.454,0.352,0.05,0,1,0,0,0,4.954,0,0,0.01111,0,0,1,4093000,7.7,1,800,2022,4088000
"31","Uganda",0.02529,31,0.01256,33,0.03101,26,2023,0,0,0,1,0,0,1,1,1,3,0,0.51,0,0,0,1,-0.211,25.53,5.232,5.218,5.071,0.883,0.059,0,0,0,0,0,0,0,0,0.04839,0,0,1,4093000,5.954,1,500,2022,4088000
"32","Mozambique",0.02511,32,0.01578,23,0.02864,31,2023,0,0,0,1,0,0,1,0,1,4,0,0.584,0,0,0,0,1.128,25.01,5,-0.6126,6.325,0.69,0,0,0,0,0,0,7.468,0,0,0.02041,0,0,1,4093000,5.615,1,541,2022,4088000
"33","South Africa",0.02483,33,0.01223,35,0.02561,36,2023,0,0,0,0,0,0,1,0,1,4,0,0.834,0,0,0,1,1.294,25.85,0.6017,6.038,5.207,0.856,0,0,0,0,0,0,0,0,0,0.01111,0,0,1,4093000,6.833,1,560,2022,4088000
"34","China",0.02483,34,0.01225,34,0.02622,34,2023,0,0,0,1,1,0,0,1,1,0,0,0.087,1,0,0,1,-0.188,30.39,5.2,5.222,2.204,0.19,0.0134,0,1,0,0,0,0,0,0,0.03333,0,0,1,4093000,7.7,1,710,2022,4088000
"35","Rwanda",0.02448,35,0.01273,30,0.02376,37,2023,0,0,0,1,0,1,0,1,1,3,0,0.156,0,0,0,1,-0.561,23.75,8.241,6.044,4.795,0.28,0,0,0,0,0,0,7.055,0,0,0.06452,0,0,1,4093000,5.954,1,517,2022,4088000
"36","Laos",0.02357,36,0.01131,40,0.02568,35,2023,0,0,0,1,1,0,0,1,1,2,1,0.062,0,0,0,1,-0.085,22.86,3.746,-0.4316,5.418,0.634,0.08,0,1,0,0,0,0,0,0,0.02667,0,0,1,4093000,6.229,1,812,2022,4088000
"37","Jordan",0.02268,37,0.01138,38,0.00888,73,2023,0,0,0,1,0,0,1,1,1,3,0,0.702,0,0,0,1,0.572,23.43,2.615,-0.1963,3.564,0.044,0.5,0,0,0,1,0,0,0,0,0.01316,0,0,1,4093000,6.248,1,663,2022,4088000
"38","Malawi",0.02257,38,0.01159,37,0.02375,38,2023,0,0,0,0,0,0,1,0,1,4,0,0.784,0,0,0,1,-0.69,24.32,1.54,-1.375,4.947,0.791,0,0,0,0,0,0,0,0,0,0.01667,0,0,1,4093000,5.907,1,553,2022,4088000
"39","Cambodia (Kampuchea)",0.02184,39,0.009457,46,0.02344,39,2023,0,0,0,1,0,1,0,1,1,3,0,0.286,0,0,0,1,-1.049,24.01,5.4,6.827,4.188,0.158,0.008,0,1,0,0,0,0,0,0,0.02817,0,0,1,4093000,6.15,1,811,2022,4088000
