"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2","gdppcgrowth.combined","tradeshare.log2.combined","imr.fwd.fill.sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage_new_ln","includesnonstate","ccode"
"31","Central African Republic",0.02618,31,0.01724,26,0.04556,17,1,0,0,1,0,0,1,0,0,4,0,0.312,0,0,0,1,0.604,22.45,-1.996,5.442,8.276,0.79,0,0,0,0,0,0,1,8.033,0,1,1,0,0,1,4093000,2023,6,1,482
"32","Uganda",0.02577,32,0.01233,39,0.03117,28,0,0,0,1,0,0,1,1,1,3,0,0.51,0,0,0,1,-0.211,25.53,2.345,5.218,5.367,0.883,0.059,0,0,0,0,0,1,0,0,0,3,0,0,1,4093000,2023,5.954,1,500
"33","Republic of Congo",0.02577,33,0.01192,43,0.02689,34,0,0,0,1,0,0,1,0,1,3,1,0.114,0,0,0,1,-0.189,22.54,-0.37,6.588,5.368,0.704,0,0,0,0,0,0,1,0,0,0,3,0,0,1,4093000,2023,6,1,484
"34","Thailand",0.02532,34,0.01256,37,0.02632,36,0,0,0,1,0,0,1,1,1,4,0,0.469,0,0,0,1,-0.006,26.1,1.735,7.013,2.491,0.352,0.05,0,1,0,0,0,0,4.954,0,0,1,0,0,1,4093000,2023,7.7,1,800
"35","Ivory Coast",0.02506,35,0.01259,36,0.02637,35,0,0,0,0,0,0,1,0,1,4,0,0.684,0,0,0,1,0.031,24.78,3.907,5.629,7.187,0.731,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,6,1,437
"36","Cambodia",0.02503,36,0.01153,45,0.02631,37,0,0,0,1,0,1,0,1,1,3,0,0.286,0,0,0,1,-1.049,24.01,4.299,6.827,4.38,0.158,0.008,0,1,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,6.15,1,811
"37","Jordan",0.02438,37,0.01241,38,0.01141,67,0,0,0,1,0,0,1,1,1,3,0,0.702,0,0,0,1,0.572,23.43,2.152,-0.1963,3.428,0.044,0.5,0,0,0,1,0,0,0,0,0,1,0,0,1,4093000,2023,6.248,1,663
"38","Burundi",0.02326,38,0.01293,35,0.01588,52,0,0,0,1,0,1,0,1,1,4,1,0.189,0,1,0,1,0.759,23.66,-0.007285,4.887,5.95,0.308,0,0,0,0,0,0,0,6.539,0,0,2,0,0,1,4093000,2023,5.954,1,516
"39","Syria",0.0232,39,0.01723,27,0.03828,21,1,0,0,1,1,0,0,1,0,1,0,0.073,1,0,0,1,-2.162,24.47,-6.012,6.613,4.091,0.213,0,0,0,0,1,0,0,10.56,0,1.585,3,0,0,1,4093000,2023,6.285,1,652
"40","South Africa",0.02309,40,0.0116,44,0.02429,38,0,0,0,0,0,0,1,0,1,4,0,0.834,0,0,0,1,1.294,25.85,-0.2653,6.038,5.277,0.856,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,6.833,1,560
"41","Malawi",0.02266,41,0.01198,42,0.02341,39,0,0,0,0,0,0,1,0,1,4,0,0.784,0,0,0,1,-0.69,24.32,-1.014,-1.375,5.436,0.791,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,5.907,1,553
"42","Eritrea",0.02254,42,0.01337,33,0.01459,56,0,0,1,1,1,0,0,1,1,1,1,0.103,0,0,1,1,0.472,21.84,5,-1.751,5.205,0.659,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,4093000,2023,4.954,1,531
"43","Tanzania",0.02193,43,0.01132,46,0.02224,41,0,0,0,0,0,0,1,0,1,3,0,0.878,0,0,0,0,0.891,26.01,1.527,5.239,5.378,0.591,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4093000,2023,5.977,1,510
"44","Cameroon",0.02126,44,0.01392,30,0.02329,40,0,0,0,1,0,0,1,1,1,4,0,0.696,0,0,0,1,-0.393,24.77,1.333,5.271,6.885,0.86,0,0,0,0,0,0,1,8.492,0,0,0,0,0,0,4093000,2023,5.977,1,471
