"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"27","Somalia",0.02822,27,0.02256,15,0.03364,26,1,0,1,1,0,0,1,0,1,2,0,0.69,0,0,0,0,-0.098,24.11,0.000976,6.563,8.141,0.222,0,0,0,0,0,0,1,11.91,0,1,0.04688,0,0,1,4093000,6,1,520,2023
"28","China",0.02771,28,0.0138,32,0.02936,32,0,0,0,1,1,0,0,1,1,0,0,0.087,1,0,0,1,-0.188,30.39,5.309,5.222,2.259,0.19,0.0134,0,1,0,0,0,0,0,0,0,0.04688,0,0,1,4093000,7.7,1,710,2023
"29","Laos",0.02711,29,0.01496,28,0.02907,33,0,0,0,1,1,0,0,1,1,2,1,0.062,0,0,0,1,-0.085,22.86,2.328,-0.4316,5.632,0.634,0.08,0,1,0,0,0,0,0,0,0,0.03125,0,0,1,4093000,6.229,1,812,2023
"30","Angola",0.02647,30,0.01316,35,0.03239,27,0,0,0,0,0,0,1,0,1,3,0,0.637,0,0,0,1,-0.313,25.13,-2.155,6.056,6.974,0.779,0,0,0,0,0,0,1,0,0,0,0.02041,0,0,1,4093000,5.615,1,540,2023
"31","Central African Republic",0.02625,31,0.01755,26,0.04586,17,1,0,0,1,0,0,1,0,0,4,0,0.312,0,0,0,1,0.604,22.45,-1.996,5.442,8.276,0.79,0,0,0,0,0,0,1,8.033,0,1,0.01562,0,0,1,4093000,6,1,482,2023
"32","Uganda",0.02578,32,0.01238,40,0.03114,28,0,0,0,1,0,0,1,1,1,3,0,0.51,0,0,0,1,-0.211,25.53,2.345,5.218,5.367,0.883,0.059,0,0,0,0,0,1,0,0,0,0.04839,0,0,1,4093000,5.954,1,500,2023
"33","Republic of Congo",0.02576,33,0.01214,42,0.0269,34,0,0,0,1,0,0,1,0,1,3,1,0.114,0,0,0,1,-0.189,22.54,-0.37,6.588,5.368,0.704,0,0,0,0,0,0,1,0,0,0,0.04688,0,0,1,4093000,6,1,484,2023
"34","Thailand",0.02538,34,0.01265,37,0.02638,37,0,0,0,1,0,0,1,1,1,4,0,0.469,0,0,0,1,-0.006,26.1,1.735,7.013,2.491,0.352,0.05,0,1,0,0,0,0,4.954,0,0,0.01562,0,0,1,4093000,7.7,1,800,2023
"35","Ivory Coast",0.02529,35,0.01283,36,0.02654,35,0,0,0,0,0,0,1,0,1,4,0,0.684,0,0,0,1,0.031,24.78,3.907,5.629,7.187,0.731,0,0,0,0,0,0,1,0,0,0,0.01562,0,0,1,4093000,6,1,437,2023
"36","Cambodia",0.02516,36,0.01174,44,0.02644,36,0,0,0,1,0,1,0,1,1,3,0,0.286,0,0,0,1,-1.049,24.01,4.299,6.827,4.38,0.158,0.008,0,1,0,0,0,0,0,0,0,0.03125,0,0,1,4093000,6.15,1,811,2023
"37","Jordan",0.02446,37,0.01254,39,0.01146,67,0,0,0,1,0,0,1,1,1,3,0,0.702,0,0,0,1,0.572,23.43,2.152,-0.1963,3.428,0.044,0.5,0,0,0,1,0,0,0,0,0,0.01562,0,0,1,4093000,6.248,1,663,2023
"38","Burundi",0.0234,38,0.01341,34,0.01594,52,0,0,0,1,0,1,0,1,1,4,1,0.189,0,1,0,1,0.759,23.66,-0.007285,4.887,5.95,0.308,0,0,0,0,0,0,0,6.539,0,0,0.03226,0,0,1,4093000,5.954,1,516,2023
"39","South Africa",0.02328,39,0.01173,45,0.02443,38,0,0,0,0,0,0,1,0,1,4,0,0.834,0,0,0,1,1.294,25.85,-0.2653,6.038,5.277,0.856,0,0,0,0,0,0,1,0,0,0,0.01562,0,0,1,4093000,6.833,1,560,2023
"40","Syria",0.02309,40,0.01718,27,0.03831,21,1,0,0,1,1,0,0,1,0,1,0,0.073,1,0,0,1,-2.162,24.47,-6.012,6.613,4.091,0.213,0,0,0,0,1,0,0,10.56,0,1.585,0.04688,0,0,1,4093000,6.285,1,652,2023
