"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"14","Democratic Republic of Congo",0.0453,14,0.02401,14,0.04989,15,1,0,0,1,0,0,1,0,1,3,0,0.482,0,0,0,1,-0.692,26.61,5.108,6.512,7.024,0.7,0.02,0,0,0,0,0,9.047,0,1,0.09375,0,0,1,4093000,6,1,490,2023
"15","Niger",0.04111,15,0.02625,12,0.03572,22,0,0,0,0,0,0,1,0,2,3,0,0.883,0,0,0,1,0.981,24.7,-1.249,4.927,8.035,0.666,0,0,0,0,0,0,8.34,1,0,0,0,0,0,4093000,6,1,436,2023
"16","Iran",0.03829,16,0.01879,20,0.03357,27,0,0,1,1,0,1,0,1,1,1,0,0.241,1,0,1,1,0.61,26.41,4.22,5.796,3.141,0.743,0.1545,0,0,0,1,0,5.129,0,0,0.03125,0,0,1,4093000,7.7,1,630,2023
"17","Russia",0.0368,17,0.01832,23,0.03155,29,0,0,0,1,0,1,0,0,0,2,0,0.295,0,0,0,1,-1.452,27.1,-2.162,5.386,1.882,0.376,0.0032,0,0,0,0,0,6.615,0,0,0.03125,0,0,1,4093000,7.7,1,365,2023
"18","South Sudan",0.03679,18,0.01832,22,0.03925,19,1,0,1,1,0,1,0,1,1,3,0,0.171,1,0,0,1,-1.244,23.4,-5.2,-1.522,7.988,0.73,0.04,0,0,0,0,0,0,0,1.585,0.07692,0,0,1,4093000,3.7,1,626,2023
"19","Philippines",0.03673,19,0.01865,21,0.04978,16,1,0,0,1,0,0,1,1,1,4,0,0.631,0,0,0,1,-0.777,26.81,3.946,6.075,4.551,0.807,0,0,1,0,0,0,7.877,0,1,0.0625,0,0,1,4093000,6.285,1,840,2023
"20","Iraq",0.03511,20,0.02,18,0.03855,20,1,0,0,1,0,1,0,0,1,3,0,0.525,0,0,0,1,-0.021,25.44,-5.087,5.943,4.361,0.446,0,0,0,0,1,0,7.672,0,1,0.09375,0,0,1,4093000,6.524,1,645,2023
"21","Turkey",0.03348,21,0.01804,24,0.03531,24,0,0,1,1,0,0,1,0,0,2,0,0.186,0,0,0,1,-0.171,26.35,4.093,6.065,3.027,0.521,0.1866,0,0,0,0,0,8.455,0,0,0.01562,0,0,1,4093000,7.7,1,640,2023
"22","Mali",0.03297,22,0.02527,13,0.03766,21,0,0,0,1,0,0,1,0,1,3,0,0.674,0,0,0,0,1.475,24.47,2.074,6.044,7.796,0.852,0,0,0,0,0,0,10.3,1,0,0,0,0,0,4093000,6,1,432,2023
"23","Tajikistan",0.03091,23,0.01458,29,0.05389,11,0,0,0,1,0,1,0,1,1,0,0,0.045,0,0,0,1,-1.972,23.27,6.263,6.032,4.95,0.367,0,0,0,1,0,0,0,0,0,0.0303,0,0,1,4093000,5.044,1,702,2023
