"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"67","North Korea",0.01098,67,0.007794,62,0.01204,64,1,0,1,1,1,0,0,1,1,0,1,0.018,0,1,1,1,-0.979,24.64,1.318,-4.008,3.813,0.02,0,0,1,0,0,0,0,0,1,0.01562,0,0,1,4093000,6.248,1,731,2023
"68","Georgia",0.01096,68,0.006381,75,0.01148,66,0,0,0,0,0,0,1,0,1,3,0,0.794,0,0,0,1,0.338,21.84,6.107,6.732,2.853,0.367,0,0,0,0,0,0,0,0,0,0.0303,0,0,1,4093000,5.044,1,372,2023
"69","Peru",0.01061,69,0.006995,70,0.01104,68,0,0,0,0,0,0,1,0,1,4,0,0.921,0,0,0,1,0.366,25.03,-1.428,5.67,3.419,0.618,0,1,0,0,0,0,0,0,0,0.01562,0,0,1,4093000,7.644,1,135,2023
"70","Nicaragua",0.01056,70,0.007771,63,0.01154,65,0,0,0,1,1,0,0,1,0,1,1,0.025,1,0,0,1,-1.261,22.75,3.117,6.712,3.502,0.544,0,1,0,0,0,0,0,0,0,0.03125,0,0,1,4093000,7.524,1,93,2023
"71","Bosnia and Herzegovina",0.01045,71,0.006086,77,0.01097,69,0,0,0,1,0,0,1,0,1,4,0,0.72,0,0,0,1,0.818,21.61,2.394,6.659,2.308,0.637,0.01,0,0,0,0,0,0,0,0,0,0,0,1,4093000,5,1,346,2023
"72","Zambia",0.01034,72,0.007129,67,0.0112,67,0,0,0,0,0,0,1,0,1,4,0,0.887,0,0,0,0,1.095,24.29,2.992,6.32,6.184,0.706,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.907,1,551,2023
"73","Djibouti",0.009883,73,0.006386,74,0.01072,71,0,0,0,1,0,1,0,0,1,3,0,0.53,0,0,0,1,-0.461,20.12,5.212,8.421,6.025,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.555,1,522,2023
"74","Azerbaijan",0.009256,74,0.007009,69,0.009898,73,0,0,0,1,0,0,1,1,1,2,0,0.354,0,1,0,1,-1.709,23.27,1.416,6.386,3.866,0.122,0,0,0,0,0,0,8.855,0,0,0.0303,0,0,1,4093000,5.044,1,373,2023
"75","Venezuela",0.00898,75,0.006975,71,0.00964,75,0,0,0,1,0,1,0,1,1,3,0,0.282,0,0,0,1,0.985,24.78,6.577,-3.047,3.964,0.52,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.607,1,101,2023
"76","Lebanon",0.008947,76,0.005731,80,0.009411,76,0,0,0,0,0,0,1,0,1,4,0,0.676,0,0,0,1,-0.961,22.35,2.383,7.006,3.964,0.133,0.1,0,0,0,1,0,0,0,0,0,0,0,0,4093000,6.322,1,660,2023
"77","Sri Lanka",0.008905,77,0.005691,81,0.009713,74,0,0,0,0,0,0,1,0,0,3,0,0.736,0,1,0,1,0.564,24.39,-1.66,5.402,2.258,0.323,0.11,0,0,1,0,0,0,0,0,0.0625,0,0,1,4093000,6.248,1,780,2023
"78","Namibia",0.008073,78,0.005389,85,0.008715,77,0,0,0,0,0,0,1,0,1,4,0,0.847,0,0,0,1,0.516,21.31,2.674,6.776,5.215,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.087,1,565,2023
"79","Mexico",0.007991,79,0.005626,83,0.008638,78,0,0,0,1,0,0,1,0,1,4,0,0.805,0,0,0,1,0.582,26.94,2.464,6.212,3.217,0.587,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.665,1,70,2023
"80","Argentina",0.007685,80,0.006351,76,0.008124,80,0,0,0,0,0,0,1,0,1,4,0,0.936,0,0,0,0,1.637,25.48,-2.436,4.753,2.997,0.158,0,1,0,0,0,0,0,0,0,0.01562,0,0,1,4093000,7.7,1,160,2023
"81","Brazil",0.007491,81,0.005878,78,0.008519,79,0,0,0,0,0,0,1,0,1,4,0,0.869,0,0,0,0,0.312,27.69,2.381,5.081,3.472,0.559,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.658,1,140,2023
"82","Kazakhstan",0.007189,82,0.004774,91,0.007735,83,0,0,0,1,0,1,0,1,2,2,0,0.52,0,1,0,1,0.245,24.25,3.699,6.09,2.85,0.538,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.044,1,705,2023
"83","United States of America",0.00715,83,0.005597,84,0.007821,81,0,0,0,0,0,0,1,0,1,4,0,0.927,0,0,0,0,0.75,28.32,2.04,4.757,2.298,0.527,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,2,2023
"84","United Arab Emirates",0.007095,84,0.005765,79,0.00774,82,0,0,0,1,1,0,0,1,1,3,0,0.366,0,0,0,1,-0.77,23.18,2.581,-1.689,2.205,0.684,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,5.728,1,696,2023
"85","Bhutan",0.006936,85,0.005678,82,0.007629,84,0,0,0,0,0,0,1,0,1,2,0,0.734,0,0,0,0,1.344,19.59,4.546,6.425,4.398,0.651,0.2,0,0,1,0,0,0,0,0,0,0,0,0,4093000,6.229,1,760,2023
"86","El Salvador",0.006833,86,0.005235,86,0.006187,89,0,0,0,1,0,0,1,0,0,4,0,0.411,0,0,0,1,0.042,22.6,3.047,6.338,3.084,0.165,0,1,0,0,0,0,0,0,0,0.03125,0,0,1,4093000,7.524,1,92,2023
"87","Botswana",0.006364,87,0.005109,88,0.003075,130,0,0,0,0,0,0,1,0,1,4,0,0.842,0,0,0,0,0.357,21.35,1.001,6.074,5.328,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.858,1,571,2023
"88","Fiji",0.006123,88,0.00441,94,0.006619,87,0,0,0,0,0,0,1,0,1,3,0,0.779,0,0,0,1,0.538,19.84,7.264,6.918,4.781,0.528,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,5.755,1,950,2023
"89","Guatemala",0.005994,89,0.004779,90,0.006639,86,0,0,0,1,0,0,1,1,1,4,0,0.784,0,0,0,1,0.196,24.07,2.047,5.648,4.2,0.511,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.524,1,90,2023
"90","Israel",0.005968,90,0.00678,72,0.004987,106,0,0,0,0,0,0,1,0,1,4,0,0.898,0,1,0,0,0.747,23.22,-0.08541,5.858,1.668,0.376,0.43,0,0,0,1,0,14.48,0,0,0,0,0,0,4093000,6.248,1,666,2023
"91","Mauritius",0.005776,91,0.004142,98,0.006226,88,0,0,0,1,0,0,1,0,1,4,0,0.763,0,0,0,1,0.473,20.27,7.078,6.761,3.591,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.807,1,590,2023
"92","Benin",0.005532,92,0.005098,89,0.006104,90,0,0,0,0,0,0,1,0,1,4,0,0.78,0,1,0,0,0.889,23.71,3.561,5.682,7.233,0.764,0,0,0,0,0,0,4.858,0,0,0,0,0,0,4093000,6,1,434,2023
"93","South Korea",0.005491,93,0.003926,102,0.005755,93,0,0,0,1,0,0,1,0,1,4,0,0.887,0,1,0,0,0.482,25.62,1.278,6.458,1.44,0.095,0,0,1,0,0,0,0,0,0,0.01562,0,0,1,4093000,6.248,1,732,2023
"94","Eswatini",0.005388,94,0.005209,87,0.005996,91,0,0,1,1,1,0,0,1,1,3,0,0.07,0,0,1,1,0.314,20.21,4.05,6.514,6.13,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.672,1,572,2023
"95","Ecuador",0.005259,95,0.004299,95,0.005783,92,0,0,0,0,0,0,1,0,1,4,0,0.851,0,0,0,1,0.867,24.12,1.289,5.854,3.106,0.528,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.6,1,130,2023
"96","Hungary",0.005102,96,0.00347,109,0.00543,97,0,0,0,1,0,0,1,0,1,4,0,0.828,0,1,0,1,0.362,23.19,-0.3582,7.297,1.786,0.232,0,0,0,0,0,0,0,0,0,0.01562,0,0,1,4093000,6.728,1,310,2023
"97","Comoros",0.005006,97,0.004594,92,0.005554,94,0,0,0,1,0,0,1,0,1,3,0,0.273,0,0,0,0,1.027,19.7,0.8569,5.583,6.097,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.615,1,581,2023
"98","Haiti",0.004973,98,0.004283,96,0.005466,95,0,0,0,1,0,0,1,1,1,4,0,0.645,0,1,0,1,-0.859,23.48,-3.034,4.944,6.586,0.105,0,1,0,0,0,0,0,0,0,0.03125,0,0,1,4093000,6.492,1,41,2023
"99","Honduras",0.004946,99,0.004152,97,0.005444,96,0,0,0,0,0,0,1,0,1,4,0,0.902,0,0,0,1,-0.118,23.34,2.009,6.614,3.599,0.229,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.524,1,91,2023
"100","Romania",0.004906,100,0.003697,106,0.005254,99,0,0,0,0,0,0,1,0,1,4,0,0.968,0,1,0,0,0.373,24.18,2.1,6.376,2.202,0.207,0,0,0,0,0,0,0,0,0,0.03125,0,0,1,4093000,7.19,1,360,2023
"101","Ghana",0.004893,101,0.003854,103,0.005367,98,0,0,0,0,0,0,1,0,2,4,0,0.92,0,1,0,0,0.754,25.02,0.9955,6.109,5.54,0.736,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.066,1,452,2023
"102","Serbia",0.004788,102,0.003351,112,0.005089,102,0,0,0,1,0,0,1,0,1,4,0,0.783,0,1,0,1,0.946,22.66,3.247,6.957,2.041,0.396,0.004,0,0,0,0,0,0,0,0,0.0625,0,0,1,4093000,6.728,1,345,2023
"103","Turkmenistan",0.004683,103,0.004439,93,0.005177,100,0,0,0,1,1,0,0,1,1,0,0,0.119,0,1,0,1,-1.933,22.64,0.3656,5.136,5.637,0.255,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.044,1,701,2023
"104","Poland",0.004656,104,0.003698,105,0.004969,107,0,0,0,1,0,0,1,0,0,4,0,0.78,0,1,0,0,2.354,25.13,0.5316,6.775,1.786,0.069,0,0,0,0,0,0,0,0,0,0.01562,0,0,1,4093000,6.728,1,290,2023
"105","Timor-Leste",0.004637,105,0.003944,101,0.005067,103,0,0,0,0,0,0,1,0,2,4,0,0.858,0,1,0,0,0.505,20.38,-15.57,6.609,6.129,0.802,0,0,1,0,0,0,0,0,0,0,0,0,1,4093000,4.459,1,860,2023
"106","Paraguay",0.004589,106,0.003961,100,0.005169,101,0,0,0,0,0,0,1,1,1,4,0,0.803,0,0,0,1,-0.184,22.71,3.481,6.375,3.739,0.179,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,150,2023
"107","Panama",0.004527,107,0.003747,104,0.004995,104,0,0,0,0,0,0,1,0,1,4,0,0.917,0,0,0,1,-0.642,22.09,5.888,6.584,3.544,0.612,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,6.919,1,95,2023
"108","Maldives",0.004509,108,0.003609,108,0.00499,105,0,0,0,0,0,0,1,1,1,0,0,0.804,0,0,0,1,-0.482,18.99,4.525,0.3101,2.076,0.059,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,5.883,1,781,2023
"109","Canada",0.004469,109,0.004067,99,0.004865,108,0,0,0,0,0,0,1,0,1,4,0,0.92,0,0,0,0,1.539,25.26,-1.855,6.076,2.065,0.73,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.295,1,20,2023
"110","Malaysia",0.004384,110,0.003092,116,0.0108,70,0,0,0,1,0,0,1,0,1,2,0,0.718,0,1,0,1,0.835,25.03,2.561,7.043,2.528,0.57,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,6.066,1,820,2023
"111","Saudi Arabia",0.004297,111,0.003696,107,0.004803,109,0,0,1,1,1,0,0,1,1,1,0,0.149,1,1,0,1,-1.573,25.14,-2.201,5.957,2.249,0.224,0.17,0,0,0,1,0,0,0,0,0,0,0,0,4093000,6.524,1,670,2023
"112","Croatia",0.004227,112,0.003063,118,0.004553,110,0,0,0,0,0,0,1,0,1,4,0,0.892,0,1,0,1,0.646,21.88,3.126,6.78,1.872,0.171,0,0,0,0,0,0,0,0,0,0,0,0,1,4093000,5.044,1,344,2023
"113","Czech Republic",0.003923,113,0.003167,114,0.004192,112,0,0,0,0,0,0,1,0,1,4,0,0.969,0,1,0,0,1.375,23.37,-2.159,7.118,1.492,0.262,0,0,0,0,0,0,0,0,0,0,0,0,1,4093000,4.954,1,316,2023
"114","United Kingdom",0.003788,114,0.003059,119,0.004147,113,0,0,0,0,0,0,1,0,1,4,0,0.971,0,1,0,0,0.714,26.03,-0.7147,6.035,1.924,0.399,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,200,2023
"115","Chile",0.00374,115,0.003152,115,0.004041,115,0,0,0,0,0,0,1,0,1,4,0,0.973,0,1,0,1,1.002,24.23,0.08677,5.93,2.034,0.439,0.099,1,0,0,0,0,0,0,0,0.01562,0,0,1,4093000,7.687,1,155,2023
"116","Cyprus",0.003713,116,0.003214,113,0.003963,118,0,0,0,0,0,0,1,0,2,4,0,0.912,0,0,0,0,1.296,20.27,3.637,7.489,1.766,0.347,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6,1,352,2023
"117","Japan",0.003695,117,0.003032,120,0.00408,114,0,0,0,0,0,0,1,0,1,4,0,0.881,0,1,0,0,1.373,26.89,2.421,5.55,1.284,0.019,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,740,2023
"118","The Gambia",0.003668,118,0.002963,126,0.004015,116,0,0,0,0,0,0,1,0,1,4,0,0.851,0,1,0,1,0.646,21.4,2.745,5.343,5.43,0.762,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.883,1,420,2023
"119","Slovakia",0.003624,119,0.003004,122,0.003907,119,0,0,0,0,0,0,1,0,1,4,0,0.961,0,1,0,0,1.23,22.37,1.69,7.504,2.125,0.241,0,0,0,0,0,0,0,0,0,0,0,0,1,4093000,4.954,1,317,2023
"120","Guyana",0.003573,120,0.003376,111,0.004003,117,0,0,0,0,0,0,1,0,1,4,0,0.833,0,0,0,1,1.424,19.63,32.18,-2.833,4.619,0.695,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,5.858,1,110,2023
"121","Germany",0.003563,121,0.002989,124,0.00389,120,0,0,0,0,0,0,1,0,1,4,0,0.976,0,1,0,0,1.572,26.33,-1.112,6.494,1.723,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.304,1,255,2023
"122","France",0.00353,122,0.002977,125,0.003883,121,0,0,0,0,0,0,1,0,1,4,0,0.947,0,1,0,0,1.155,26.02,0.4099,6.078,1.872,0.1,0.006,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,220,2023
"123","Dominican Republic",0.003475,123,0.003417,110,0.003839,122,0,0,0,0,0,0,1,0,1,4,0,0.956,0,1,0,0,0.349,23.43,1.42,5.633,5.062,0.453,0.023,1,0,0,0,0,0,0,0,0.01562,0,0,1,4093000,7.492,1,42,2023
"124","Spain",0.003465,124,0.002808,128,0.0038,123,0,0,0,0,0,0,1,0,1,4,0,0.934,0,1,0,0,1.161,25.53,1.242,6.205,1.545,0.669,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,230,2023
"125","Italy",0.003202,125,0.002774,129,0.003531,124,0,0,0,0,0,0,1,0,1,4,0,0.937,0,1,0,0,1.701,25.81,1.229,6.103,1.498,0.11,0.001,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,325,2023
"126","Mongolia",0.003124,126,0.002445,137,0.003436,126,0,0,0,0,0,0,1,0,2,4,0,0.777,0,1,0,1,-0.593,21.72,5.508,7.202,3.248,0.315,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,6.687,1,712,2023
"127","Lesotho",0.003094,127,0.003083,117,0.003441,125,0,0,0,0,0,0,1,0,1,4,0,0.851,0,1,0,0,1.063,21.15,-0.1623,7.187,7.518,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.858,1,570,2023
"128","Greece",0.003068,128,0.002843,127,0.002597,143,0,0,0,0,0,1,0,0,1,3,0,0.869,0,1,0,0,2.284,23.3,2.658,6.565,1.823,0.167,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.615,1,350,2023
"129","Belarus",0.003065,129,0.002756,130,0.00261,142,0,0,0,1,0,1,0,0,1,2,0,0.029,0,1,1,0,0.901,23.13,4.45,7.055,1.38,0.309,0.031,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,370,2023
"130","Australia",0.003054,130,0.002654,132,0.003407,127,0,0,0,0,0,0,1,0,1,4,0,0.943,0,1,0,0,0.819,24.67,0.6033,5.587,1.786,0.276,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,6.943,1,900,2023
"131","Moldova",0.002929,131,0.002755,131,0.002471,147,0,0,0,0,0,1,0,0,1,4,0,0.913,0,1,0,0,0.872,21.25,2.891,6.572,3.418,0.427,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,359,2023
"132","New Zealand",0.002926,132,0.00239,139,0.003223,128,0,0,0,0,0,0,1,0,1,4,0,0.981,0,1,0,1,0.669,22.32,-1.408,5.757,2.084,0.485,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,6.87,1,920,2023
"133","Kuwait",0.00287,133,0.002991,123,0.003089,129,0,0,0,0,1,0,0,0,1,3,0,0.577,0,1,0,1,-0.583,22.04,-3.165,-2.489,2.692,0.765,0.03,0,0,0,1,0,0,0,0,0,0,0,0,4093000,5.883,1,690,2023
"134","Singapore",0.002644,134,0.002179,147,0.002883,131,0,0,0,1,0,0,1,0,1,3,0,0.745,0,1,0,1,0.906,22.5,-3.718,8.282,1.314,0.395,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,5.883,1,830,2023
"135","Netherlands",0.002638,135,0.002423,138,0.002878,132,0,0,0,0,0,0,1,0,1,4,0,0.901,0,1,0,0,1.908,24.09,-0.8835,7.311,1.841,0.354,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,210,2023
"136","Suriname",0.002594,136,0.003027,121,0.001257,168,0,0,0,0,0,0,1,0,1,4,0,0.924,0,0,0,0,0.475,19.25,1.224,-0.11,3.756,0.73,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,5.615,1,115,2023
"137","Bolivia",0.002578,137,0.002634,133,0.002848,134,0,0,0,1,0,0,1,0,1,4,0,0.804,0,1,0,1,1.666,23.56,1.084,5.879,5.641,0.572,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.637,1,145,2023
"138","Oman",0.002578,138,0.002583,134,0.002866,133,0,0,0,1,1,0,0,0,1,3,0,0.4,0,1,0,1,-0.774,22.15,-0.185,6.553,2.925,0.597,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,7.7,1,698,2023
"139","Belgium",0.002524,139,0.002306,140,0.002756,135,0,0,0,0,0,0,1,0,1,4,0,0.959,0,1,0,0,1.819,23.5,0.1923,7.445,1.825,0.592,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.6,1,211,2023
"140","Macedonia",0.00252,140,0.002077,149,0.002656,139,0,0,0,0,0,0,1,0,1,4,0,0.772,0,1,0,1,-0.467,20.79,2.128,7.314,2.172,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,343,2023
"141","Tunisia",0.002496,141,0.002503,135,0.002754,136,0,0,0,0,0,0,1,0,0,3,0,0.623,0,1,0,0,2.517,23.57,-0.3994,6.77,2.996,0.034,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,6.087,1,616,2023
"142","Portugal",0.002446,142,0.002267,142,0.002682,137,0,0,0,0,0,0,1,0,1,4,0,0.924,0,1,0,0,0.765,23.33,1.138,6.555,1.607,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,235,2023
