"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","popsize.log2","gdppcgrowth","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.log2","coup.try.5yr","mk_ongoing_count_log2","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage.new.log2","includesnonstate","ccode"
"32","Uganda",0.02619,32,0.01264,34,0.03143,28,0,0,0,1,0,0,1,1,1,3,0,0.51,0,0,0,1,-0.211,25.53,2.345,5.367,0.883,0.059,0,0,0,0,0,1,0,0,0,3,0,0,1,4093000,2023,5.954,1,500
"33","Cambodia",0.02536,33,0.01117,40,0.0271,35,0,0,0,1,0,1,0,1,1,3,0,0.286,0,0,0,1,-1.049,24.01,4.299,4.38,0.158,0.008,0,1,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,6.15,1,811
"34","Central African Republic",0.02532,34,0.01654,27,0.04571,17,1,0,0,1,0,0,1,0,0,4,0,0.312,0,0,0,1,0.604,22.45,-1.996,8.276,0.79,0,0,0,0,0,0,1,8.033,0,1,1,0,0,1,4093000,2023,6,1,482
"35","Ivory Coast",0.0253,35,0.01249,35,0.02686,37,0,0,0,0,0,0,1,0,1,4,0,0.684,0,0,0,1,0.031,24.78,3.907,7.187,0.731,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,6,1,437
"36","Laos",0.02481,36,0.0121,37,0.0273,33,0,0,0,1,1,0,0,1,1,2,1,0.062,0,0,0,1,-0.085,22.86,2.328,5.632,0.634,0.08,0,1,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,6.229,1,812
"37","South Africa",0.02355,37,0.01188,38,0.02483,38,0,0,0,0,0,0,1,0,1,4,0,0.834,0,0,0,1,1.294,25.85,-0.2653,5.277,0.856,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,6.833,1,560
"38","Jordan",0.02334,38,0.01117,41,0.01101,71,0,0,0,1,0,0,1,1,1,3,0,0.702,0,0,0,1,0.572,23.43,2.152,3.428,0.044,0.5,0,0,0,1,0,0,0,0,0,1,0,0,1,4093000,2023,6.248,1,663
"39","Syria",0.02298,39,0.01672,25,0.03914,21,1,0,0,1,1,0,0,1,0,1,0,0.073,1,0,0,1,-2.162,24.47,-6.012,4.091,0.213,0,0,0,0,1,0,0,10.56,0,1.585,3,0,0,1,4093000,2023,6.285,1,652
"40","Burundi",0.02278,40,0.0115,39,0.01605,51,0,0,0,1,0,1,0,1,1,4,1,0.189,0,1,0,1,0.759,23.66,-0.007285,5.95,0.308,0,0,0,0,0,0,0,6.539,0,0,2,0,0,1,4093000,2023,5.954,1,516
"41","Tanzania",0.02184,41,0.01079,45,0.0226,40,0,0,0,0,0,0,1,0,1,3,0,0.878,0,0,0,0,0.891,26.01,1.527,5.378,0.591,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4093000,2023,5.977,1,510
"42","Malawi",0.02148,42,0.01095,43,0.02221,41,0,0,0,0,0,0,1,0,1,4,0,0.784,0,0,0,1,-0.69,24.32,-1.014,5.436,0.791,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,5.907,1,553
"43","Cameroon",0.0211,43,0.01331,32,0.02345,39,0,0,0,1,0,0,1,1,1,4,0,0.696,0,0,0,1,-0.393,24.77,1.333,6.885,0.86,0,0,0,0,0,0,1,8.492,0,0,0,0,0,0,4093000,2023,5.977,1,471
"44","Nepal",0.02019,44,0.01092,44,0.02196,42,0,0,0,0,0,0,1,0,1,3,0,0.842,0,0,0,0,0.836,24.88,0.8009,4.68,0.86,0,0,0,1,0,0,1,0,0,0,2,0,0,1,4093000,2023,7.7,1,790
"45","Eritrea",0.01983,45,0.009728,49,0.01373,59,0,0,1,1,1,0,0,1,1,1,1,0.103,0,0,1,1,0.472,21.84,6.652,5.205,0.659,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,4093000,2023,4.954,1,531
"46","Algeria",0.01913,46,0.009868,47,0.02012,43,0,0,0,1,0,0,1,0,1,1,0,0.536,0,0,0,1,1.037,25.44,2.495,4.219,0.372,0,0,0,0,1,0,1,0,0,0,2,0,0,1,4093000,2023,5.954,1,615
"47","Guinea-Bissau",0.01833,47,0.01029,46,0.01983,44,0,0,0,1,0,0,1,1,1,4,0,0.748,0,0,0,1,-0.249,21.04,2.054,6.995,0.808,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4093000,2023,5.644,1,404
"48","Kenya",0.01831,48,0.01107,42,0.01909,46,0,0,0,0,0,0,1,0,1,4,0,0.92,0,0,0,0,1.048,25.72,3.373,5.445,0.855,0.06,0,0,0,0,0,0,7.622,0,0,0,0,0,0,4093000,2023,5.931,1,501
"49","Gabon",0.01736,49,0.009259,50,0.01825,49,0,0,0,1,0,0,1,1,1,4,0,0.945,0,0,0,1,0.6,21.22,0.2665,5.241,0.789,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4093000,2023,5.883,1,481
"50","Zimbabwe",0.01729,50,0.007593,57,0.01782,50,0,0,0,1,0,0,1,1,1,4,1,0.262,0,1,0,1,-1.632,23.99,2.784,5.762,0.415,0.01,0,0,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,5.883,1,552
"51","Sierra Leone",0.01729,51,0.009774,48,0.01974,45,0,0,0,0,0,0,1,0,1,4,0,0.881,0,0,0,0,1.041,23.07,1.25,8.463,0.801,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,5.977,1,451
"52","Liberia",0.01697,52,0.008862,53,0.01855,48,0,0,0,0,0,0,1,0,1,4,0,0.943,0,0,0,0,0.623,22.37,2.475,7.479,0.889,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,7.468,1,450
"53","Democratic Republic of Vietnam",0.0168,53,0.008989,51,0.01875,47,0,0,0,1,1,0,0,1,1,1,0,0.328,0,0,1,1,1.158,26.56,4.332,3.882,0.263,0,0,1,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,6.129,1,816
"54","Papua New Guinea",0.01483,54,0.008011,54,0.01582,53,0,0,0,0,0,0,1,0,1,4,0,0.86,0,0,0,0,0.759,23.3,0.8191,5.67,0.27,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4093000,2023,5.615,1,910
"55","Mauritania",0.01475,55,0.007275,59,0.01603,52,0,0,0,0,0,1,0,1,1,1,0,0.78,1,0,0,1,-0.82,22.21,0.6868,5.548,0.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,6,1,435
"56","Madagascar",0.01434,56,0.007833,55,0.01582,54,0,0,0,0,0,0,1,0,1,4,0,0.695,0,0,0,1,-0.543,24.85,1.537,6.709,0.194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,6,1,580
"57","Libya",0.01399,57,0.007832,56,0.01436,57,0,0,1,0,0,1,0,0,1,1,0,0.451,0,0,0,0,-0.027,22.72,-2.758,4.004,0.259,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4093000,2023,6.19,1,620
