"","country","risk.2023and2024.from2022","rank.2023and2024.from2022","risk.2023only.from2022","riskrank.2023only.from2022","risk.2022and2023.from2021","rank.2022and2023.from2021","mean_mk_onset","mk_onset_prev_year","year","year_sq","mk_ever","mk_ongoing_count_log","newcountry","widetargeting","narrowtargeting","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage_new_ln","wdi.popsize.log2","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","battledeaths.ln2","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.log2.combined","coup.try.5yr","efindex","discrimpop","partyban.new.0","partyban.new.1","partyban.new.2","v2csgender_binary","v2mecenefm_binary","imr.fwd.fill.sqrt","ccode","year_l1","year_sq_l1"
"33","Myanmar (Burma)",0.02041,33,0.0147,25,0.02178,32,0.0540540540540541,1,2022,4088484,1,2,0,1,0,0,1,0,0,0,6.22881869049588,25.6912385779292,-0.156059912536947,0,1,1,10.9936460600166,0,2,1,0.053,1,1,0,1,-0.205,-2.81649181463671,1,0.59,0.060499996,0,1,0,0,1,5.71843992390876,775,2021,4084441
"34","Cote D’Ivoire",0.02009,34,0.01396,28,0.02095,34,0.0161290322580645,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,5.97727992349992,24.7471717657005,0.0489691812354965,1,1,0,0,1,4,0,0.698,0,0,0,1,-0.049,-3.33241848715489,0,0.731,0,0,0,1,0,1,7.79089800218359,437,2021,4084441
"35","Turkey (Ottoman Empire)",0.01926,35,0.01029,40,0.02158,33,0.012987012987013,0,2022,4088484,1,0,0,0,0,0,0,1,0,0,6.28540221886225,26.3467397540279,0.0844877067358275,1,1,0,9.16992500144231,0,2,0,0.185,0,0,0,1,0.304,-2.64714491535437,0,0.521,0.1866,0,0,1,1,1,2.55170562414207,640,2021,4084441
"36","Rwanda",0.01874,36,0.009989,41,0.008851,55,0.0666666666666667,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,5.93073733756289,23.7157268084315,0.0806425079390559,0,1,1,0,1,3,0,0.172,0,0,0,1,0.077,-3.10498150874145,0,0.28,0,0,1,0,0,0,4.85436210045756,517,2021,4084441
"37","Liberia",0.0187,37,0.01157,39,0.01954,37,0.025974025974026,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,6.28540221886225,22.3382905304069,0.0241956195131701,0,1,0,0,1,4,0,0.939,0,0,0,0,0.656,-2.12762013229088,0,0.889,0,0,0,1,0,0,6.90368162825864,450,2021,4084441
"38","Sierra Leone",0.01818,38,0.01218,37,0.01875,38,0.0163934426229508,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,5.95419631038687,23.0368641348408,0.0164080393699708,1,1,0,0,1,4,0,0.82,0,0,0,0,0.726,-3.15816797724599,0,0.801,0,0,0,1,0,0,8.9181511057418,451,2021,4084441
"39","Algeria",0.01727,39,0.01238,35,0.01788,40,0.0333333333333333,0,2022,4088484,1,0,0,0,0,0,0,0,1,0,5.93073733756289,25.4203157288756,0.0229475787311188,1,1,0,0,1,2,0,0.576,0,0,0,1,1.104,-3.27917676467942,0,0.372,0,0,1,0,0,1,4.14483279875762,615,2021,4084441
"40","Cambodia (Kampuchea)",0.01717,40,0.008552,43,0.01802,39,0.0289855072463768,0,2022,4088484,1,0,0,0,0,0,1,0,0,0,6.12928301694497,23.9991936920386,0.0162127911023787,0,1,0,0,1,3,0,0.28,0,0,0,1,-1.092,-1.52997756241511,0,0.158,0.008,0,1,0,0,1,4.32763202803413,811,2021,4084441
"41","Central African Republic",0.01602,41,0.01344,30,0.01554,43,0.0161290322580645,0,2022,4088484,1,1,0,1,0,1,0,0,0,0,5.97727992349992,22.4116123577428,-0.0012217216387292,1,1,0,9.40087943628218,1,4,0,0.592,0,0,0,1,0.622,-3.54076536225402,0,0.79,0,0,0,1,0,1,8.83847747447414,482,2021,4084441
"42","Malawi",0.01599,42,0.01171,38,0.01681,41,0.0172413793103448,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,5.88264304936184,24.2824417874895,0.0139582559784667,1,1,0,0,1,4,0,0.835,0,0,0,1,-0.192,-3.10682879105177,0,0.791,0,0,0,1,0,0,5.05744592010798,553,2021,4084441
"43","Iraq",0.01575,43,0.01325,31,0.0257,26,0.0779220779220779,0,2022,4088484,1,1,0,1,0,0,0,0,1,0,6.28540221886225,25.4071762696127,0.0142199637854693,0,1,0,8.39231742277875,1,2,0,0.331,0,0,0,1,0.018,-3.06025729556792,0,0.446,0,0,1,0,1,1,4.77452844092015,645,2021,4084441
"44","Vietnam, Democratic Republic of",0.01501,44,0.009954,42,0.0144,44,0.0294117647058824,0,2022,4088484,1,0,0,0,0,0,1,0,0,0,6.10852445677817,26.5490265721241,0.0126259660104857,0,1,1,0,2,1,0,0.314,0,0,0,1,1.602,-1.3101462280317,0,0.263,0,1,0,0,0,1,3.70574184428464,816,2021,4084441
"45","Mauritania",0.01247,45,0.008039,46,0.01318,48,0,0,2022,4088484,0,0,0,0,0,1,0,0,0,0,5.97727992349992,22.1752799922817,0.0102549788018246,0,1,1,0,1,0,0,0.766,1,0,0,1,-0.806,-1.95728571182603,0,0.713,0,0,1,0,0,0,5.46788416500519,435,2021,4084441
"46","Morocco",0.01244,46,0.007582,50,0.01318,47,0,0,2022,4088484,0,0,0,0,0,0,0,0,1,0,6.06608919045777,25.1587694189042,0.0518489221269708,0,1,0,0,2,1,0,0.623,0,0,0,0,-0.339,-2.3235226741199,0,0.566,0.016,0,0,1,0,1,3.73110484232045,600,2021,4084441
"47","Cameroon",0.01227,47,0.008514,44,0.01309,49,0,0,2022,4088484,0,0,0,0,0,1,0,0,0,0,5.95419631038687,24.7345132398153,0.0199861052203818,1,1,1,8.66888498426625,1,4,0,0.729,0,0,0,1,-0.659,-3.76369829660361,0,0.86,0,0,0,1,0,1,7.20189181271033,471,2021,4084441
"48","Kenya",0.01143,48,0.00778,48,0.01208,50,0,0,2022,4088484,0,0,0,0,0,1,0,0,0,0,5.90689059560852,25.6871902431424,0.0530347419613154,0,1,0,6.18982455888002,1,4,0,0.879,0,0,0,0,1.013,-4.03161911595274,0,0.855,0.06,0,0,1,0,0,5.256843630796,501,2021,4084441
"49","Libya",0.01061,49,0.005919,57,0.00933,52,0.0140845070422535,0,2022,4088484,1,0,0,0,0,0,0,0,1,0,6.16992500144231,22.699719222,0.248625199373433,1,1,0,0,1,1,0,0.455,0,0,0,0,-0.012,-2.69305557167102,0,0.259,0,0,1,0,1,0,2.96685192416833,620,2021,4084441
"50","Togo",0.009799,50,0.005705,59,0.008968,53,0,0,2022,4088484,0,0,0,0,0,1,0,0,0,0,5.97727992349992,23.0770339246077,0.0345313014108754,1,1,0,5.12928301694496,1,4,0,0.417,0,0,0,0,-0.033,-3.11987406184156,0,0.88,0,0,0,1,0,1,6.53880389279775,461,2021,4084441
"51","Gabon",0.009226,51,0.007661,49,0.008856,54,0,0,2022,4088484,0,0,0,0,0,1,0,0,0,0,5.85798099512757,21.1879705919842,0.00374169018355411,0,1,1,0,1,3,0,0.801,0,0,0,1,0.542,-2.69755170001882,1,0.789,0,0,0,1,0,1,5.50565936409521,481,2021,4084441
